type,word,colour,correct_key,trialsStroop.thisRepN,trialsStroop.thisTrialN,trialsStroop.thisN,trialsStroop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeMessage.started,keywelcome.started,WelcomeScreen.stopped,keywelcome.keys,keywelcome.rt,keywelcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,Strooptrial.started,textStroopWord.started,keyStroop.started,Strooptrial.stopped,keyStroop.keys,keyStroop.corr,keyStroop.rt,keyStroop.duration,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.02067460003308952,0.03580319997854531,0.03580319997854531,1.2882580000441521,space,1.243598600034602,None,,,,,,,,,,,,,,,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
congruent,BLUE,blue,b,0,0,0,1,1.8278834000229836,,,,,,,,,3.923631399986334,3.9364691000664607,3.9364691000664607,4.436166299972683,4.436166299972683,4.420802199980244,1.8187998000066727,1.8278834000229836,1.8278834000229836,3.9226388999959454,b,1,2.091986200073734,None,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
congruent,YELLOW,yellow,y,0,1,1,11,4.436166299972683,,,,,,,,,5.354055300005712,5.368896100088023,5.368896100088023,5.869811900076456,5.869811900076456,5.8535383000271395,4.42122100002598,4.436166299972683,4.436166299972683,5.353565900004469,y,1,0.9080069999909028,None,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
incongruent,RED,yellow,y,0,2,2,20,5.869811900076456,,,,,,,,,6.971070200088434,6.986228300025687,6.986228300025687,7.486699500004761,7.486699500004761,7.47070750000421,5.854324800078757,5.869811900076456,5.869811900076456,6.970666000037454,y,1,1.0903525000903755,None,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
congruent,RED,red,r,0,3,3,8,7.486699500004761,,,,,,,,,8.272988900076598,8.28640290000476,8.28640290000476,8.786317100049928,8.786317100049928,8.770504800020717,7.471100800088607,7.486699500004761,7.486699500004761,8.272305099992082,r,1,0.7689112999942154,None,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
incongruent,BLUE,red,r,0,4,4,5,8.786317100049928,,,,,,,,,9.887166599975899,9.902868299977854,9.902868299977854,10.434692300041206,10.434692300041206,10.387496900046244,8.770879100076854,8.786317100049928,8.786317100049928,9.886873100069351,r,1,1.0849731999915093,None,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
congruent,RED,red,r,0,5,5,0,10.434692300041206,,,,,,,,,11.13868099998217,11.153466499992646,11.153466499992646,11.653090400039218,11.653090400039218,11.637395000085235,10.387906200019643,10.434692300041206,10.434692300041206,11.138160399976186,r,1,0.7005429000128061,None,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
congruent,YELLOW,yellow,y,0,6,6,19,11.653090400039218,,,,,,,,,12.604724399978295,12.619780300068669,12.619780300068669,13.119585099979304,13.119585099979304,13.10401340003591,11.637781500001438,11.653090400039218,11.653090400039218,12.60426280007232,y,1,0.9386294001014903,None,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
congruent,GREEN,green,g,0,7,7,18,13.119585099979304,,,,,,,,,13.754907900001854,13.769436900038272,13.769436900038272,14.270064200041816,14.270064200041816,14.254075200064108,13.104380100034177,13.119585099979304,13.119585099979304,13.754499800037593,g,1,0.623975700000301,None,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
incongruent,GREEN,yellow,y,0,8,8,6,14.270064200041816,,,,,,,,,15.621203600079753,15.636579600046389,15.636579600046389,16.137203800026327,16.137203800026327,16.120812300010584,14.254478299990296,14.270064200041816,14.270064200041816,15.62071080005262,y,1,1.3458636000286788,None,,,,,,,,0d00721,001,2024-05-22_09h55.06.987,stroop,2023.2.3,59.989441847676815,2024-05-22 09h55.33.233519 +0800,
