type,word,colour,correct_key,trialsStroop.thisRepN,trialsStroop.thisTrialN,trialsStroop.thisN,trialsStroop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeMessage.started,keywelcome.started,WelcomeScreen.stopped,keywelcome.keys,keywelcome.rt,keywelcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,Strooptrial.started,textStroopWord.started,keyStroop.started,Strooptrial.stopped,keyStroop.keys,keyStroop.corr,keyStroop.rt,keyStroop.duration,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
congruent,BLUE,blue,b,0,9,9,17,13.662180799990892,,,,,,,,,14.663481700001284,14.678592200041749,14.678592200041749,15.178840200067498,15.178840200067498,15.163267099997029,13.64656670007389,13.662180799990892,13.662180799990892,14.66298350004945,b,1,0.9968591999495402,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,YELLOW,yellow,y,0,10,10,3,15.178840200067498,,,,,,,,,15.84690220002085,15.86102710000705,15.86102710000705,16.362589900032617,16.362589900032617,16.345455400063656,15.16372599999886,15.178840200067498,15.178840200067498,15.84635570005048,y,1,0.6646118999924511,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,YELLOW,red,r,0,11,11,15,16.362589900032617,,,,,,,,,16.89593540003989,16.91095510008745,16.91095510008745,17.412034000037238,17.412034000037238,17.396141900098883,16.345966599998064,16.362589900032617,16.362589900032617,16.89540790009778,r,1,0.5200773000251502,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,BLUE,yellow,y,0,12,12,13,17.412034000037238,,,,,,,,,18.180884600034915,18.19515040004626,18.19515040004626,18.69510590005666,18.69510590005666,18.679172500036657,17.396977700060233,17.412034000037238,17.412034000037238,18.18039650004357,y,1,0.7668000999838114,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,YELLOW,blue,b,0,13,13,23,18.69510590005666,,,,,,,,,19.562988899997436,19.577598400064744,19.577598400064744,20.078672100091353,20.078672100091353,20.062955300090834,18.679516300093383,18.69510590005666,18.69510590005666,19.56231100007426,b,1,0.8603900000452995,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,GREEN,green,g,0,14,14,2,20.078672100091353,,,,,,,,,20.96248290000949,20.97817410004791,20.97817410004791,21.4788168000523,21.4788168000523,21.462777200038545,20.063747100066394,20.078672100091353,20.078672100091353,20.962184500065632,g,1,0.8694714000448585,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,GREEN,yellow,y,0,15,15,6,21.4788168000523,,,,,,,,,21.946231300011277,21.961516999988817,21.961516999988817,22.461788900080137,22.461788900080137,22.44617280003149,21.4631825000979,21.4788168000523,21.4788168000523,21.94591410004068,y,1,0.45993749995250255,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,YELLOW,green,g,0,16,16,7,22.461788900080137,,,,,,,,,23.048060600063764,23.06159210007172,23.06159210007172,23.56220210005995,23.56220210005995,23.546311100013554,22.44658139999956,22.461788900080137,22.461788900080137,23.047531399992295,g,1,0.5814965000608936,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,GREEN,green,g,0,17,17,10,23.56220210005995,,,,,,,,,24.113231700030155,24.128177700098604,24.128177700098604,24.62894470000174,24.62894470000174,24.612868200056255,23.54675760003738,23.56220210005995,23.56220210005995,24.112968000001274,g,1,0.537026800098829,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,GREEN,blue,b,0,18,18,14,24.62894470000174,,,,,,,,,25.096327000064775,25.111597900046036,25.111597900046036,25.611877100076526,25.611877100076526,25.596121500013396,24.61326100002043,24.62894470000174,24.62894470000174,25.096051800064743,g,0,0.46211379999294877,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,RED,green,g,0,19,19,12,25.611877100076526,,,,,,,,,26.74745550006628,26.76182560005691,26.76182560005691,27.26181669998914,27.26181669998914,27.246304400032386,25.59651520010084,25.611877100076526,25.611877100076526,26.746840200037695,g,1,1.1275037999730557,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
