Dotsspeed,Dotsdirec,Dotscoherence,DotsNum,corrAns,trialsRDK.thisRepN,trialsRDK.thisTrialN,trialsRDK.thisN,trialsRDK.thisIndex,thisRow.t,notes,WelcomScreen.started,Welcome.started,key_Welcome.started,WelcomScreen.stopped,key_Welcome.keys,key_Welcome.rt,key_Welcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,RDKtrial.started,dots.started,key_resp.started,RDKtrial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.05,90,0.8,1,right,1,3,19,13,39.381441900040954,,,,,,,,,39.965571800014004,39.98089990008157,39.98089990008157,40.481439299997874,40.481439299997874,40.465257800067775,39.36499999999069,39.381441900040954,39.381441900040954,39.96505250001792,up,0,0.5764215999515727,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,180,0.8,1,left,1,4,20,14,40.481439299997874,,,,,,,,,40.966099700075574,40.98134990001563,40.98134990001563,41.48147070000414,41.48147070000414,41.46537300001364,40.46564419998322,40.481439299997874,40.481439299997874,40.96530080004595,left,1,0.46861619991250336,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,0,0.8,1,up,1,5,21,4,41.48147070000414,,,,,,,,,41.89907949999906,41.91609209997114,41.91609209997114,,,42.41566429997329,41.465739500010386,41.48147070000414,41.48147070000414,41.898552200058475,right,0,0.4130733000347391,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,0,0.8,1,up,1,6,22,12,42.43227690004278,,,,,,,,,42.86642930004746,42.88258089998271,42.88258089998271,,,43.38216380006634,42.41628720005974,42.43227690004278,42.43227690004278,42.865666400059126,right,0,0.4222797999391332,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,270,0.1,1,left,1,7,23,11,43.398049500072375,,,,,,,,,44.200750500080176,44.21497690002434,44.21497690002434,44.71482790005393,44.71482790005393,44.699037600075826,43.382589400047436,43.398049500072375,43.398049500072375,44.199901000014506,left,1,0.7999390000477433,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,90,0.1,1,up,1,8,24,1,44.71482790005393,,,,,,,,,47.332606700016186,47.34854150004685,47.34854150004685,47.848240700084716,47.848240700084716,47.8320848000003,44.6994083999889,44.71482790005393,44.71482790005393,47.3319913999876,right,0,2.604214899940416,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,270,0.8,1,down,1,9,25,15,47.848240700084716,,,,,,,,,48.366127200075425,48.38164640008472,48.38164640008472,48.8814573000418,48.8814573000418,48.865446500014514,47.83249519998208,47.848240700084716,47.848240700084716,48.3654349000426,down,1,0.5096182000124827,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,0,0.1,1,right,1,10,26,8,48.8814573000418,,,,,,,,,50.298527400009334,50.31427079997957,50.31427079997957,50.81420360004995,50.81420360004995,50.797850999981165,48.86582309997175,48.8814573000418,48.8814573000418,50.29831480002031,right,1,1.4122735999990255,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,180,0.1,1,down,1,11,27,2,50.81420360004995,,,,,,,,,51.51480220002122,51.5308675999986,51.5308675999986,52.03093580005225,52.03093580005225,52.01446219999343,50.79802930005826,50.81420360004995,50.81420360004995,51.51440950005781,left,0,0.6955464999191463,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,180,0.8,1,left,1,12,28,6,52.03093580005225,,,,,,,,,52.59895230003167,52.616314799990505,52.616314799990505,,,53.11529580003116,52.014639600063674,52.03093580005225,52.03093580005225,52.59847049997188,left,1,0.5513029999565333,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,90,0.8,1,right,1,13,29,5,53.132036500028335,,,,,,,,,53.549392500077374,53.565069400006905,53.565069400006905,54.06489959999453,54.06489959999453,54.05014890001621,53.115653600078076,53.132036500028335,53.132036500028335,53.54878399998415,up,0,0.4099441000726074,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,270,0.8,1,down,1,14,30,7,54.06489959999453,,,,,,,,,54.56662779999897,54.58180799998809,54.58180799998809,55.08570439997129,55.08570439997129,55.0651270999806,54.05083209997974,54.06489959999453,54.06489959999453,54.5658720000647,down,1,0.48508270003367215,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,90,0.1,1,up,1,15,31,9,55.08570439997129,,,,,,,,,59.73369999998249,59.74782040005084,59.74782040005084,60.24778079998214,60.24778079998214,60.231536200037226,55.06543519999832,55.08570439997129,55.08570439997129,59.7328611999983,left,0,4.6328691999660805,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,180,0.8,1,left,2,0,32,6,60.24778079998214,,,,,,,,,60.7502713999711,60.765707900049165,60.765707900049165,61.2651412000414,61.2651412000414,61.248925800086,60.2317303000018,60.24778079998214,60.24778079998214,60.749468600028194,left,1,0.494812999968417,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,270,0.1,1,left,2,1,33,11,61.2651412000414,,,,,,,,,62.20081489998847,62.21543720003683,62.21543720003683,62.71535579999909,62.71535579999909,62.69899840001017,61.249326699995436,61.2651412000414,61.2651412000414,62.19990320003126,down,0,0.9328363999957219,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,0,0.1,1,right,2,2,34,8,62.71535579999909,,,,,,,,,63.75022170005832,63.76531310006976,63.76531310006976,64.26502190006431,64.26502190006431,64.2491404999746,62.69939980003983,62.71535579999909,62.71535579999909,63.74938870000187,left,0,1.0187483000336215,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,90,0.8,1,right,2,3,35,5,64.26502190006431,,,,,,,,,64.91699769999832,64.93202110007405,64.93202110007405,65.43184690002818,65.43184690002818,65.41572290007025,64.2496122000739,64.26502190006431,64.26502190006431,64.91612130007707,up,0,0.6374496000353247,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,270,0.8,1,down,2,4,36,15,65.43184690002818,,,,,,,,,65.86707020003814,65.88165009999648,65.88165009999648,66.38198780000675,66.38198780000675,66.3658265999984,65.41613859997597,65.43184690002818,65.43184690002818,65.86626290006097,down,1,0.43077819992322475,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,270,0.1,1,left,2,5,37,3,66.38198780000675,,,,,,,,,68.43196189997252,68.44784969999455,68.44784969999455,68.94780580000952,68.94780580000952,68.93138169997837,66.36622810002882,66.38198780000675,66.38198780000675,68.43173170008231,left,1,2.040342800086364,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,270,0.8,1,down,2,6,38,7,68.94780580000952,,,,,,,,,69.44878760003485,69.46448109997436,69.46448109997436,69.96447680005804,69.96447680005804,69.94815549999475,68.93156830000225,68.94780580000952,68.94780580000952,69.44858389999717,down,1,0.48317699995823205,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,90,0.1,1,up,2,7,39,9,69.96447680005804,,,,,,,,,70.66473600000609,70.68109299999196,70.68109299999196,71.18116939999163,71.18116939999163,71.1646977000637,69.94836280005984,69.96447680005804,69.96447680005804,70.66450710000936,right,0,0.6973658999195322,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,0,0.8,1,up,2,8,40,12,71.18116939999163,,,,,,,,,71.8314587000059,71.84783870005049,71.84783870005049,72.34776030003559,72.34776030003559,72.33137909998186,71.16486340004485,71.18116939999163,71.18116939999163,71.83108270005323,right,0,0.6338980000000447,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,180,0.1,1,down,2,9,41,10,72.34776030003559,,,,,,,,,73.19807759998366,73.21433230000548,73.21433230000548,73.71448580001015,73.71448580001015,73.69821679999586,72.33157300006133,72.34776030003559,72.34776030003559,73.19785620004404,left,0,0.8426580999512225,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,90,0.1,1,up,2,10,42,1,73.71448580001015,,,,,,,,,77.39811830001418,77.41444399999455,77.41444399999455,77.91440060001332,77.91440060001332,77.89814449998084,73.69841579999775,73.71448580001015,73.71448580001015,77.39792610006407,down,0,3.668080599978566,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,180,0.1,1,down,2,11,43,2,77.91440060001332,,,,,,,,,78.64826360007282,78.66462509997655,78.66462509997655,79.164503899985,79.164503899985,79.14814740000293,77.89833120000549,77.91440060001332,77.91440060001332,78.64804440003354,left,0,0.7319300000090152,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
