Dotsspeed,Dotsdirec,Dotscoherence,DotsNum,corrAns,trialsRDK.thisRepN,trialsRDK.thisTrialN,trialsRDK.thisN,trialsRDK.thisIndex,thisRow.t,notes,WelcomScreen.started,Welcome.started,key_Welcome.started,WelcomScreen.stopped,key_Welcome.keys,key_Welcome.rt,key_Welcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,RDKtrial.started,dots.started,key_resp.started,RDKtrial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,dots.stopped,key_resp.stopped,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.02928860008250922,0.04453670000657439,0.04453670000657439,0.6131668000016361,space,0.5559257999993861,None,,,,,,,,,,,,,,,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,90,0.1,1,up,0,0,0,9,1.127861600019969,,,,,,,,,1.848022900056094,1.8620269000530243,1.8620269000530243,2.3616104000248015,2.3616104000248015,2.345749100088142,1.1223983999807388,1.127861600019969,1.127861600019969,1.8466897000325844,left,0,0.7047471000114456,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,270,0.1,1,left,0,1,1,11,2.3616104000248015,,,,,,,,,3.5138629000866786,3.528704300057143,3.528704300057143,4.028505800059065,4.028505800059065,4.01250940002501,2.3461345999967307,2.3616104000248015,2.3616104000248015,3.512963299988769,left,1,1.13567900005728,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,0,0.8,1,up,0,2,2,12,4.028505800059065,,,,,,,,,4.528923899983056,4.54566820000764,4.54566820000764,5.044968000031076,5.044968000031076,5.028759500011802,4.012928600073792,4.028505800059065,4.028505800059065,4.528591200010851,right,0,0.49285249994136393,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,0,0.1,1,right,0,3,3,8,5.044968000031076,,,,,,,,,6.814006400061771,6.828624900081195,6.828624900081195,7.328244100091979,7.328244100091979,7.312666799989529,5.0290973000228405,5.044968000031076,5.044968000031076,6.813243100070395,left,0,1.763591399998404,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,180,0.1,1,down,0,4,4,2,7.328244100091979,,,,,,,,,8.279472100082785,8.295350900036283,8.295350900036283,8.795117800007574,8.795117800007574,8.779213899979368,7.313071900047362,7.328244100091979,7.328244100091979,8.278881500009447,left,0,0.9380546000320464,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,270,0.1,1,left,0,5,5,3,8.795117800007574,,,,,,,,,11.263082300079986,11.27791360008996,11.27791360008996,11.778502200031653,11.778502200031653,11.762586900033057,8.77963450003881,8.795117800007574,8.795117800007574,11.262416400015354,left,1,2.4620278000365943,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,0,0.8,1,up,0,6,6,4,11.778502200031653,,,,,,,,,12.230187800014392,12.245143900043331,12.245143900043331,12.744965700083412,12.744965700083412,12.728655399987474,11.762979799997993,11.778502200031653,11.778502200031653,12.229403299978003,right,0,0.43849760002922267,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,270,0.8,1,down,0,7,7,7,12.744965700083412,,,,,,,,,13.214276200043969,13.228738000034355,13.228738000034355,13.728658500011079,13.728658500011079,13.712664199993014,12.72894910001196,12.744965700083412,12.744965700083412,13.21347890002653,down,1,0.464310200070031,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,90,0.1,1,up,0,8,8,1,13.728658500011079,,,,,,,,,14.447442000033334,14.461834800080396,14.461834800080396,14.9618388999952,14.9618388999952,14.945776200038381,13.713169900001958,13.728658500011079,13.728658500011079,14.446583800017834,up,1,0.7119648000225425,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
